rang;id;nom;adresse;lien;annotateur_1;etiquette_1;confiance_1;annotateur_2;etiquette_2;confiance_2;arbitrage;presse_locale;guide_touristique;remarque
14;osm_n3351649038;Crêperie des Pêcheurs;27 Rue Saint-André des Arts, 75006 Paris;https://www.google.com/maps/search/Cr%C3%AAperie+des+P%C3%AAcheurs+27+Rue+Saint-Andr%C3%A9+des+Arts%2C+75006+Paris;;;;;;;;;;
15;osm_n9146864043;Hon Ki;18 Rue de la Bûcherie, 75005 Paris;https://www.google.com/maps/search/Hon+Ki+18+Rue+de+la+B%C3%BBcherie%2C+75005+Paris;;;;;;;;;;
16;osm_n13100711044;Arya Bhavan;25 Rue Galande, 75005 Paris;https://www.google.com/maps/search/Arya+Bhavan+25+Rue+Galande%2C+75005+Paris;;;;;;;;;;
17;osm_n9146864044;Le Grenier de Notre Dame;18 Rue de la Bûcherie, 75005 Paris;https://www.google.com/maps/search/Le+Grenier+de+Notre+Dame+18+Rue+de+la+B%C3%BBcherie%2C+75005+Paris;;;;;;;;;;
18;osm_n7799077047;Bicla;46 Rue Monsieur le Prince, 75006 Paris;https://www.google.com/maps/search/Bicla+46+Rue+Monsieur+le+Prince%2C+75006+Paris;;;;;;;;;;
19;osm_n7799077048;Taeng Thai;33 Pl. Maubert, 75005 Paris;https://www.google.com/maps/search/Taeng+Thai+33+Pl.+Maubert%2C+75005+Paris;;;;;;;;;;
20;osm_n726579049;A Braccetto;19 Rue Soufflot, 75005 Paris;https://www.google.com/maps/search/A+Braccetto+19+Rue+Soufflot%2C+75005+Paris;;;;;;;;;;
21;osm_n7861045052;Khaaw Hoom;42 Rue des Boulangers, 75005 Paris;https://www.google.com/maps/search/Khaaw+Hoom+42+Rue+des+Boulangers%2C+75005+Paris;;;;;;;;;;
22;osm_n1667270067;Hoki Sushi;;https://www.google.com/maps/search/Hoki+Sushi;;;;;;;;;;
23;osm_n1667270068;Atelier Carmen;5 Rue du Pot de Fer, 75005 Paris;https://www.google.com/maps/search/Atelier+Carmen+5+Rue+du+Pot+de+Fer%2C+75005+Paris;;;;;;;;;;
24;osm_n7726922070;Sahara Café;12 Rue de l'Éperon, 75006 Paris;https://www.google.com/maps/search/Sahara+Caf%C3%A9+12+Rue+de+l%27%C3%89peron%2C+75006+Paris;;;;;;;;;;
25;osm_n2841183072;L'Époque;;https://www.google.com/maps/search/L%27%C3%89poque;;;;;;;;;;
26;osm_n3878917072;Pirosmani;6 Rue Boutebrie, 75005 Paris;https://www.google.com/maps/search/Pirosmani+6+Rue+Boutebrie%2C+75005+Paris;;;;;;;;;;
27;osm_n5131438074;Arrivederci Pizzeria;47 Rue Gay-Lussac, 75005 Paris;https://www.google.com/maps/search/Arrivederci+Pizzeria+47+Rue+Gay-Lussac%2C+75005+Paris;;;;;;;;;;
28;osm_n2417976078;Mr & Mrs Crab;20 Rue de la Huchette, 75005 Paris;https://www.google.com/maps/search/Mr+%26+Mrs+Crab+20+Rue+de+la+Huchette%2C+75005+Paris;;;;;;;;;;
29;osm_n582931079;L'Annexe;22 Rue des Écoles, 75005 Paris;https://www.google.com/maps/search/L%27Annexe+22+Rue+des+%C3%89coles%2C+75005+Paris;;;;;;;;;;
30;osm_n2868233080;L'Estrapade;15 Rue de l'Estrapade, 75005 Paris;https://www.google.com/maps/search/L%27Estrapade+15+Rue+de+l%27Estrapade%2C+75005+Paris;;;;;;;;;;
31;osm_n9041945080;L'Ardoise;;https://www.google.com/maps/search/L%27Ardoise;;;;;;;;;;
32;osm_n582931082;La Petite Périgourdine;39 Rue des Écoles, 75005 Paris;https://www.google.com/maps/search/La+Petite+P%C3%A9rigourdine+39+Rue+des+%C3%89coles%2C+75005+Paris;;;;;;;;;;
33;osm_n7202562085;La Pie Noir;5 Rue de la Montagne Ste Geneviève, 75005 Paris;https://www.google.com/maps/search/La+Pie+Noir+5+Rue+de+la+Montagne+Ste+Genevi%C3%A8ve%2C+75005+Paris;;;;;;;;;;
34;osm_n7274734085;Empire Céleste;5 Rue Royer-Collard, 75005 Paris;https://www.google.com/maps/search/Empire+C%C3%A9leste+5+Rue+Royer-Collard%2C+75005+Paris;;;;;;;;;;
35;osm_n582932088;Le Coup de Torchon;187 Rue Saint-Jacques;https://www.google.com/maps/search/Le+Coup+de+Torchon+187+Rue+Saint-Jacques;;;;;;;;;;
36;osm_n4462302090;Le Val de Grace;;https://www.google.com/maps/search/Le+Val+de+Grace;;;;;;;;;;
37;osm_n322683091;Thaiger;17 Rue Saint-Séverin, 75005 Paris;https://www.google.com/maps/search/Thaiger+17+Rue+Saint-S%C3%A9verin%2C+75005+Paris;;;;;;;;;;
38;osm_n6498943091;X Lagrange;10 Rue Lagrange, 75005 Paris;https://www.google.com/maps/search/X+Lagrange+10+Rue+Lagrange%2C+75005+Paris;;;;;;;;;;
39;osm_n2301351094;Au vieux cèdre;;https://www.google.com/maps/search/Au+vieux+c%C3%A8dre;;;;;;;;;;
40;osm_n10869266096;Dame;;https://www.google.com/maps/search/Dame;;;;;;;;;;
41;osm_n2373094099;Bambou;;https://www.google.com/maps/search/Bambou;;;;;;;;;;
42;osm_n2939315101;Le Relais Fac;13 Bd Saint-Germain, 75005 Paris;https://www.google.com/maps/search/Le+Relais+Fac+13+Bd+Saint-Germain%2C+75005+Paris;;;;;;;;;;
43;osm_n251474107;Jardin des Pâtes;4 Rue Lacépède, 75005 Paris;https://www.google.com/maps/search/Jardin+des+P%C3%A2tes+4+Rue+Lac%C3%A9p%C3%A8de%2C+75005+Paris;;;;;;;;;;
44;osm_n251474108;La Tour d'Argent;15 Quai de la Tournelle, 75005 Paris;https://www.google.com/maps/search/La+Tour+d%27Argent+15+Quai+de+la+Tournelle%2C+75005+Paris;;;;;;;;;;
45;osm_n251474109;Kusksi Original Couscous;12 Rue Thouin, 75005 Paris;https://www.google.com/maps/search/Kusksi+Original+Couscous+12+Rue+Thouin%2C+75005+Paris;;;;;;;;;;
46;osm_n251474112;All'Antico Vinaio;3 Rue du Petit Pont, 75005 Paris;https://www.google.com/maps/search/All%27Antico+Vinaio+3+Rue+du+Petit+Pont%2C+75005+Paris;;;;;;;;;;
47;osm_n6432767115;Brasserie Célina;77 Rue Claude Bernard, 75005 Paris;https://www.google.com/maps/search/Brasserie+C%C3%A9lina+77+Rue+Claude+Bernard%2C+75005+Paris;;;;;;;;;;
48;osm_n9851849117;Saïgon d'Antan;26 Rue Monsieur le Prince, 75006 Paris;https://www.google.com/maps/search/Sa%C3%AFgon+d%27Antan+26+Rue+Monsieur+le+Prince%2C+75006+Paris;;;;;;;;;;
49;osm_n10026947121;La Fontaine Saint-Michel;Pl. Saint-Michel, 75005 Paris;https://www.google.com/maps/search/La+Fontaine+Saint-Michel+Pl.+Saint-Michel%2C+75005+Paris;;;;;;;;;;
50;osm_n5325410121;Saveurs d'Asie;31 Rue Monge, 75005 Paris;https://www.google.com/maps/search/Saveurs+d%27Asie+31+Rue+Monge%2C+75005+Paris;;;;;;;;;;
51;osm_n5499480121;Chez Suzette;12 Rue de la Harpe, 75005 Paris;https://www.google.com/maps/search/Chez+Suzette+12+Rue+de+la+Harpe%2C+75005+Paris;;;;—;—;—;;;;
52;osm_n4745031123;Sucrepice;5 Rue d'Arras, 75005 Paris;https://www.google.com/maps/search/Sucrepice+5+Rue+d%27Arras%2C+75005+Paris;;;;—;—;—;;;;
53;osm_n13850401128;Saveurs d'Asie;31 Rue des Boulangers, 75005 Paris;https://www.google.com/maps/search/Saveurs+d%27Asie+31+Rue+des+Boulangers%2C+75005+Paris;;;;—;—;—;;;;
54;osm_n1769442128;Le Solstice;45 Rue Claude Bernard, 75005 Paris;https://www.google.com/maps/search/Le+Solstice+45+Rue+Claude+Bernard%2C+75005+Paris;;;;—;—;—;;;;
55;osm_n8222344128;Le Mékong;;https://www.google.com/maps/search/Le+M%C3%A9kong;;;;—;—;—;;;;
56;osm_w59544128;CROUS Restaurant Universitaire Censier;;https://www.google.com/maps/search/CROUS+Restaurant+Universitaire+Censier;;;;—;—;—;;;;
57;osm_n3734846129;Café de la Tourelle;5 Rue Hautefeuille, 75006 Paris;https://www.google.com/maps/search/Caf%C3%A9+de+la+Tourelle+5+Rue+Hautefeuille%2C+75006+Paris;;;;—;—;—;;;;
58;osm_n697029135;Bouillon de l'île;66 Rue Saint-Louis en l'Île, 75004 Paris;https://www.google.com/maps/search/Bouillon+de+l%27%C3%AEle+66+Rue+Saint-Louis+en+l%27%C3%8Ele%2C+75004+Paris;;;;—;—;—;;;;
59;osm_n4185965139;Vita;9 Rue de l'École de Médecine, 75006 Paris;https://www.google.com/maps/search/Vita+9+Rue+de+l%27%C3%89cole+de+M%C3%A9decine%2C+75006+Paris;;;;—;—;—;;;;
60;osm_n9501679142;La Soummam;3 Rue de Bièvre, 75005 Paris;https://www.google.com/maps/search/La+Soummam+3+Rue+de+Bi%C3%A8vre%2C+75005+Paris;;;;—;—;—;;;;
61;osm_n11016686147;Atelier d'André;36 Rue Saint-André des Arts, 75006 Paris;https://www.google.com/maps/search/Atelier+d%27Andr%C3%A9+36+Rue+Saint-Andr%C3%A9+des+Arts%2C+75006+Paris;;;;—;—;—;;;;
62;osm_n2341691147;Café de la Nouvelle Mairie;19 Rue des Fossés Saint-Jacques, 75005;https://www.google.com/maps/search/Caf%C3%A9+de+la+Nouvelle+Mairie+19+Rue+des+Foss%C3%A9s+Saint-Jacques%2C+75005;;;;—;—;—;;;;
63;osm_n6035003151;Pain d'Épices;12 Rue Jean du Bellay, 75004 Paris;https://www.google.com/maps/search/Pain+d%27%C3%89pices+12+Rue+Jean+du+Bellay%2C+75004+Paris;;;;—;—;—;;;;
